Date,Municipality,Region,City,Deaths,Seriously injured,Slightly injured,Speed,Escapists,Climate,Subtype,Subzone,Wind,Moment,Type
25/01/2010,CANOVES I SAMALUS,Valles Oriental,Barcelona,0,1,0,100,No,Good weather,On vacation,Urban zone,Light wind,Night,Moving vehicles collision
31/10/2010,LLEIDA,Segria,Lleida,0,1,3,40,No,Good weather,Other roadway exits,Road,Light wind,Night,Unspecified roadway exit
17/05/2010,FORNELLS DE LA SELVA,Girones,Girona,1,0,2,80,No,Good weather,Frontal collision,Road,Light wind,Afternoon,Moving vehicles collision
21/08/2010,BARCELONA,Barcelones,Barcelona,0,2,7,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Night,Moving vehicles collision
07/05/2010,BADALONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Fall on the road,Urban zone,Light wind,Afternoon,Overturn in roadway
16/08/2010,SANT CARLES DE LA RAPITA,Montsia,Tarragona,0,1,1,40,No,Good weather,On vacation,Road,Light wind,Afternoon,Moving vehicles collision
13/01/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,On vacation,Urban zone,Light wind,Afternoon,Moving vehicles collision
23/10/2010,BARCELONA,Barcelones,Barcelona,1,0,1,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
19/06/2010,MOLLET DEL VALLES,Valles Oriental,Barcelona,0,1,2,100,No,Good weather,Onslaught (front-side),Road,Light wind,Night,Moving vehicles collision
12/02/2010,CERDANYOLA DEL VALLES,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,Lateral collision/friction,Road,Light wind,Afternoon,Moving vehicles collision
16/06/2010,TORROELLA DE MONTGRI,Baix Emporda,Girona,0,1,1,100,No,Good weather,Run over,Crossing,Light wind,Afternoon,Run over
12/10/2010,ODENA,Anoia,Barcelona,0,1,0,30,No,Good weather,Frontal collision,Urban zone,Light wind,Morning,Moving vehicles collision
23/05/2010,GIRONA,Girones,Girona,0,1,0,80,No,Good weather,Lateral collision/friction,Road,Light wind,Afternoon,Moving vehicles collision
17/12/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Fall on the road,Urban zone,Light wind,Morning,Overturn in roadway
15/10/2010,REUS,Baix Camp,Tarragona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
20/06/2010,OLOT,Garrotxa,Girona,0,1,1,30,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
15/09/2010,LLEIDA,Segria,Lleida,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
28/07/2010,MANLLEU,Osona,Barcelona,0,1,2,100,No,Good weather,On vacation,Road,Light wind,Morning,Moving vehicles collision
02/07/2010,BARCELONA,Barcelones,Barcelona,1,0,0,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
20/03/2010,ORGANYA,Alt Urgell,Lleida,0,3,5,100,No,Good weather,Frontal collision,Road,Light wind,Morning,Moving vehicles collision
24/08/2010,CALDES DE MALAVELLA,Selva,Girona,0,1,1,100,No,Good weather,Frontal collision,Road,Light wind,Afternoon,Moving vehicles collision
31/12/2010,ARTESA DE SEGRE,Noguera,Lleida,0,1,0,NA,No,Good weather,Collision against an object/obstacle without prior exit from the road,Road,Light wind,Morning,Collision against an object in the roadway
19/10/2010,MARTORELL,Baix Llobregat,Barcelona,0,1,1,40,No,Good weather,Onslaught (front-side),Crossing,Light wind,Morning,Moving vehicles collision
28/05/2010,TAGAMANENT,Valles Oriental,Barcelona,0,1,0,80,No,Heavy rain,Other roadway exits,Road,Light wind,Afternoon,Unspecified roadway exit
08/02/2010,TERRASSA,Valles Occidental,Barcelona,1,0,0,50,No,Good weather,Lateral collision/friction,Urban zone,Light wind,Night,Moving vehicles collision
31/10/2010,MOLLET DEL VALLES,Valles Oriental,Barcelona,0,1,0,100,No,Good weather,Collision against an object/obstacle without prior exit from the road,Urban zone,Light wind,Morning,Collision against an object in the roadway
25/08/2010,PRAT DE LLOBREGAT; E,Baix Llobregat,Barcelona,0,1,0,100,No,Good weather,Run over,Road,Light wind,Morning,Run over
23/06/2010,FULIOLA; LA,Urgell,Lleida,1,0,0,100,No,Good weather,Run over,Crossing,Light wind,Afternoon,Run over
24/01/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
03/04/2010,MANRESA,Bages,Barcelona,0,1,1,100,No,Good weather,Run over,Urban zone,Light wind,Night,Run over
12/02/2010,ROQUETES,Baix Ebre,Tarragona,0,1,0,NA,No,Good weather,Fall on the road,Urban zone,Light wind,Afternoon,Overturn in roadway
14/09/2010,MORELL; EL,Tarragones,Tarragona,0,1,0,50,No,Good weather,Onslaught (front-side),Crossing,Light wind,Afternoon,Moving vehicles collision
25/02/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
20/07/2010,BARCELONA,Barcelones,Barcelona,0,2,0,30,No,Good weather,Frontal collision,Road,Light wind,Morning,Moving vehicles collision
02/07/2010,LLICA D'AMUNT,Valles Oriental,Barcelona,0,1,1,100,No,Good weather,Frontal collision,Road,Light wind,Afternoon,Moving vehicles collision
11/10/2010,BARCELONA,Barcelones,Barcelona,0,2,2,100,No,Good weather,Fall on the road,Urban zone,Light wind,Morning,Overturn in roadway
03/01/2010,COLLBATO,Baix Llobregat,Barcelona,1,1,1,100,No,Light rain,Frontal collision,Road,Light wind,Afternoon,Moving vehicles collision
14/04/2010,TERRASSA,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
24/10/2010,GIRONA,Girones,Girona,0,1,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
04/08/2010,SANT MARTI SARROCA,Alt Penedes,Barcelona,0,2,0,70,No,Good weather,Other roadway exits,Road,Light wind,Morning,Unspecified roadway exit
14/07/2010,ALELLA,Maresme,Barcelona,0,1,0,NA,No,Good weather,Collision against an object/obstacle without prior exit from the road,Urban zone,Light wind,Afternoon,Collision against an object in the roadway
24/09/2010,CORNELLA DE LLOBREGAT,Baix Llobregat,Barcelona,0,1,0,30,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
23/10/2010,CALAFELL,Baix Penedes,Tarragona,0,1,1,100,No,Good weather,Lateral collision/friction,Road,Light wind,Morning,Moving vehicles collision
10/12/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Lateral collision/friction,Urban zone,Light wind,Afternoon,Moving vehicles collision
20/07/2010,SANT POL DE MAR,Maresme,Barcelona,1,0,1,90,No,Good weather,Frontal collision,Road,Light wind,Morning,Moving vehicles collision
10/07/2010,TORROELLA DE FLUVIA,Alt Emporda,Girona,1,0,0,100,No,Good weather,Collision against an object/obstacle without prior exit from the road,Road,Light wind,Night,Collision against an object in the roadway
08/06/2010,VIDRERES,Selva,Girona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
25/04/2010,AMPOSTA,Montsia,Tarragona,0,1,0,100,No,Good weather,Other roadway exits,Road,Light wind,Morning,Unspecified roadway exit
12/11/2010,SANT BOI DE LLOBREGAT,Baix Llobregat,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
05/11/2010,ALCANAR,Montsia,Tarragona,1,0,0,100,No,Good weather,Run over,Urban zone,Light wind,Night,Run over
26/03/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,On vacation,Urban zone,Light wind,Afternoon,Moving vehicles collision
14/01/2010,VERGES,Baix Emporda,Girona,0,1,9,100,No,Good weather,Lateral collision/friction,Road,Light wind,Morning,Moving vehicles collision
15/01/2010,GAVA,Baix Llobregat,Barcelona,0,1,0,NA,No,Good weather,Fall on the road,Urban zone,Light wind,Morning,Overturn in roadway
31/01/2010,OLERDOLA,Alt Penedes,Barcelona,1,0,1,50,No,Good weather,On vacation,Road,Light wind,Morning,Moving vehicles collision
08/11/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
29/05/2010,SITGES,Garraf,Barcelona,0,1,0,60,No,Good weather,Collision against an object/obstacle without prior exit from the road,Road,Light wind,Morning,Collision against an object in the roadway
13/08/2010,FIGUERES,Alt Emporda,Girona,0,1,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Morning,Moving vehicles collision
08/05/2010,FLACA,Girones,Girona,0,2,0,100,No,Good weather,Lateral collision/friction,Road,Light wind,Morning,Moving vehicles collision
05/06/2010,PALAFRUGELL,Baix Emporda,Girona,0,1,0,NA,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
27/07/2010,CALDES DE MONTBUI,Valles Oriental,Barcelona,0,1,0,100,No,Good weather,Lateral collision/friction,Road,Light wind,Afternoon,Moving vehicles collision
16/03/2010,CABRERA DE MAR,Maresme,Barcelona,0,1,0,100,No,Good weather,Fall on the road,Road,Light wind,Afternoon,Overturn in roadway
27/06/2010,MONTESQUIU,Osona,Barcelona,0,2,0,60,No,Good weather,Lateral collision/friction,Road,Light wind,Morning,Moving vehicles collision
03/11/2010,SANTA PERPETUA DE MO,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,Run over,Road,Light wind,Morning,Run over
27/04/2010,CASTELLBELL I EL VIL,Bages,Barcelona,1,1,0,60,No,Good weather,Frontal collision,Road,Light wind,Afternoon,Moving vehicles collision
29/05/2010,MATARO,Maresme,Barcelona,0,1,1,30,No,Good weather,Collision against an object/obstacle without prior exit from the road,Urban zone,Light wind,Morning,Collision against an object in the roadway
02/06/2010,LLORET DE MAR,Selva,Girona,1,0,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
25/01/2010,SABADELL,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
15/04/2010,LLEIDA,Segria,Lleida,0,1,0,60,No,Good weather,Other roadway exits,Road,Light wind,Afternoon,Unspecified roadway exit
